fund_key,nome,cnpj,gestor,classe_anbima,patrimonio_liquido,publico_alvo,taxa_administracao_cvm_mensal_pct,referencia_fundo_kinea,eh_fundo_kinea,source
CNPJ:None,OPPORTUNITY MARKET FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,,OPPORTUNITY GESTÃO DE INVESTIMENTOS E RECURSOS LTDA,Multimercados Macro,15258791.12,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:10.158.115/0001-62,VERDE AM V FUNDO DE INVESTIMENTO FINANCEIRO DA CLASSE DE INVESTIMENTO EM COTAS MULT RESP LIMITADA,10.158.115/0001-62,VERDE ASSET MANAGEMENT S.A.,Multimercados Macro,52206766.53,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:10.295.477/0001-03,KONDOR MASTER FI FINANCEIRO - CI MULT - RESP LIMITADA,10.295.477/0001-03,KONDOR ADMINISTRADORA E GESTORA DE RECURSOS FINANCEIROS LTDA.,Multimercados Macro,133315741.2,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:10.705.273/0001-95,AZ QUEST MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,10.705.273/0001-95,AZ QUEST MZK INVESTIMENTOS MACRO E CRÉDITO LTDA.,Multimercados Macro,68322704.3,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:11.575.074/0001-72,GF MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,11.575.074/0001-72,AMS CAPITAL LTDA,Multimercados Macro,139982723.13,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:11.714.716/0001-77,SANTANDER ALOCAÇÃO MULTIMERCADO MACRO - CIC DE FUNDO DE INVESTIMENTO FIF RESP LIMITADA,11.714.716/0001-77,SANTANDER BRASIL GESTÃO DE RECURSOS LTDA,Multimercados Macro,230124500.29,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:11.714.807/0001-02,SANTANDER MACRO MASTER MULTIMERCADO - CIC FIF RESP LIMITADA,11.714.807/0001-02,SANTANDER BRASIL GESTÃO DE RECURSOS LTDA,Multimercados Macro,421284715.89,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:11.904.064/0001-33,VENTOR DÓLAR HEDGE MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,11.904.064/0001-33,VENTOR INVESTIMENTOS LTDA.,Multimercados Macro,243230765.12,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:11.904.071/0001-35,WHISTLER FIF CIC MULTIMERCADO RESPONSABILIDADE LIMITADA,11.904.071/0001-35,VENTOR INVESTIMENTOS LTDA.,Multimercados Macro,184946780.84,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:12.124.089/0001-87,IBIUNA HEDGE FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE LIMITADA,12.124.089/0001-87,IBIUNA CRÉDITO GESTÃO DE RECURSOS LTDA.,Multimercados Macro,825157292.78,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:12.154.412/0001-65,IBIUNA HEDGE FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA,12.154.412/0001-65,IBIUNA CRÉDITO GESTÃO DE RECURSOS LTDA.,Multimercados Macro,317435101.95,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:12.798.221/0001-36,SPX NIMITZ MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,12.798.221/0001-36,SPX GESTÃO DE RECURSOS LTDA,Multimercados Macro,3632849171.71,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:12.831.360/0001-14,SPX NIMITZ FEEDER FIF DA CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO RESPONSABILIDADE LIMITADA,12.831.360/0001-14,SPX GESTÃO DE RECURSOS LTDA,Multimercados Macro,57636623.43,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:12.839.769/0001-87,SUL AMÉRICA EVOLUTION FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA,12.839.769/0001-87,SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,Multimercados Macro,8500339.83,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:13.000.859/0001-42,UBS ALLOCATION IBIÚNA HEDGE STHG FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO  RESP LIMITADA,13.000.859/0001-42,UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.,Multimercados Macro,30500206.07,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:13.001.211/0001-90,ALASKA RANGE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,13.001.211/0001-90,ALASKA INVESTIMENTOS LTDA.,Multimercados Macro,17917643.21,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:13.030.850/0001-84,SUL AMÉRICA TURIDO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA,13.030.850/0001-84,SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,Multimercados Macro,111625204.44,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:13.106.979/0001-29,CANVAS ENDURO FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,13.106.979/0001-29,CANVAS CAPITAL S.A.,Multimercados Macro,12786645.23,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:13.130.811/0001-59,FABASA PORTO SEGURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,13.130.811/0001-59,SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,Multimercados Macro,59951205.99,Profissional,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:13.429.264/0001-07,KONDOR MACRO FI FINANCEIRO - CI MULT - RESP LIMITADA,13.429.264/0001-07,KONDOR ADMINISTRADORA E GESTORA DE RECURSOS FINANCEIROS LTDA.,Multimercados Macro,37270748.35,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:13.482.668/0001-64,BB ESPELHO MULTIMERCADO CANVAS ENDURO FIC FIF RESPONSABILIDADE LIMITADA,13.482.668/0001-64,BB GESTAO DE RECURSOS DTVM S.A,Multimercados Macro,5305295.37,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:13.667.312/0001-03,MANAGER IBIUNA HEDGE FIF CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO RESPONSABILIDADE LIMITADA,13.667.312/0001-03,SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Multimercados Macro,27057526.14,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:13.898.197/0001-70,BRADESCO PORTFOLIO VALOR RELATIVO FC - CIC MULT - RESP LIMITADA,13.898.197/0001-70,BANCO BRADESCO S.A.,Multimercados Macro,251456437.77,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:14.096.060/0001-64,VÉRTICE VERDE MULTIMERCADO FIF CIC RESPONSABILIDADE LIMITADA,14.096.060/0001-64,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Multimercados Macro,470382646.45,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:14.146.709/0001-04,NOVUS MACRO MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESP LIMITADA,14.146.709/0001-04,NOVUS CAPITAL GESTORA DE RECURSOS LTDA.,Multimercados Macro,21978282.14,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:14.146.726/0001-41,NOVUS MACRO FUNDO DE INVESTIMENTO FINANCEIRO DA CLASSE DE INVESTIMENTO EM COTAS MULT RESP LIMITADA,14.146.726/0001-41,NOVUS CAPITAL GESTORA DE RECURSOS LTDA.,Multimercados Macro,17571440.87,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:14.806.166/0001-04,NOVUS MACRO D5 FIF DA CLASSE DE INVESTIMENTO EM COTAS MULT RESP LIMITADA,14.806.166/0001-04,NOVUS CAPITAL GESTORA DE RECURSOS LTDA.,Multimercados Macro,4781379.78,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:15.212.344/0001-31,CANVAS ENDURO 30 CSHG FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA,15.212.344/0001-31,CANVAS CAPITAL S.A.,Multimercados Macro,4969765.94,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:15.487.918/0001-84,IBIUNA  HEDGE ST MASTER FIF - CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE LIMITADA,15.487.918/0001-84,IBIUNA CRÉDITO GESTÃO DE RECURSOS LTDA.,Multimercados Macro,2471372967.72,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:15.603.942/0001-31,IBIUNA HEDGE STR FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO -RESP LIMITADA,15.603.942/0001-31,IBIUNA CRÉDITO GESTÃO DE RECURSOS LTDA.,Multimercados Macro,58685605.41,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:15.799.713/0001-34,IBIUNA HEDGE STH FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA,15.799.713/0001-34,IBIUNA CRÉDITO GESTÃO DE RECURSOS LTDA.,Multimercados Macro,421336232.72,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:15.832.701/0001-64,CANVAS ENDURO 30 DISTRIBUIÇÃO BB FIC DE FI FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,15.832.701/0001-64,CANVAS CAPITAL S.A.,Multimercados Macro,5136312.99,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:16.570.371/0001-49,BBT MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO,16.570.371/0001-49,VGR - VERONA GESTORA DE RECURSOS LTDA,Multimercados Macro,2906240.1,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.051.213/0001-45,IBIUNA HEDGE PVT MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,17.051.213/0001-45,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Multimercados Macro,37513852.68,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.080.119/0001-14,BAHIA AM MASTER FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA,17.080.119/0001-14,BAHIA AM RENDA FIXA LTDA,Multimercados Macro,33896978.44,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.087.932/0001-16,BAHIA AM MARAÚ FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA,17.087.932/0001-16,BAHIA AM RENDA FIXA LTDA,Multimercados Macro,227354702.73,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.137.326/0001-68,IBIUNA HEDGE STHG FIF- CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESPONSABILIDADE LIMITADA,17.137.326/0001-68,IBIUNA CRÉDITO GESTÃO DE RECURSOS LTDA.,Multimercados Macro,52567535.45,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.408.524/0001-19,BTGP ACCESS SPX NIMITZ FI FINANCEIRO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,17.408.524/0001-19,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Multimercados Macro,254484378.5,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.414.721/0001-40,ARX MACRO FIC DE FIF MULTIMERCADO - RESP LTDA,17.414.721/0001-40,ARX INVESTIMENTOS LTDA,Multimercados Macro,36616124.5,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.417.026/0001-32,NIMPORT FIF DA CIC MULTIMERCADO RESPONSABILIDADE LIMITADA,17.417.026/0001-32,SPX GESTÃO DE RECURSOS LTDA,Multimercados Macro,344185462.23,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.419.784/0001-90,VÉRTICE FOF MACRO MULTIMERCADO FICFI RESPONSABILIDADE LIMITADA,17.419.784/0001-90,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Multimercados Macro,378250764.48,Profissional,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.454.259/0001-05,VERDE AM PATRIMONIO FIF CIC MULTIMERCADO RESPONSABILIDADE LIMITADA,17.454.259/0001-05,VERDE ASSET MANAGEMENT S.A.,Multimercados Macro,167399320.31,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.488.514/0001-30,BAHIA AM MUTÁ MASTER FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA,17.488.514/0001-30,BAHIA AM RENDA FIXA LTDA,Multimercados Macro,254638099.33,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.489.031/0001-50,BAHIA AM MARAÚ A FIF - CIC MULTIM- RESPONSABILIDADE LIMITADA,17.489.031/0001-50,BAHIA AM RENDA FIXA LTDA,Multimercados Macro,175378125.13,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.489.083/0001-27,BAHIA AM MUTÁ FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA,17.489.083/0001-27,BAHIA AM RENDA FIXA LTDA,Multimercados Macro,151176673.39,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.797.493/0001-35,SULAMÉRICA APOLLO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA,17.797.493/0001-35,SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,Multimercados Macro,137515335.3,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:17.891.926/0001-17,LEGACY CAPITAL ABSOLUTO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,17.891.926/0001-17,LEGACY CAPITAL GESTORA DE RECURSOS LTDA.,Multimercados Macro,230577095.73,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:18.051.467/0001-26,LEGACY CAPITAL ABSOLUTO P FIF EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,18.051.467/0001-26,LEGACY CAPITAL GESTORA DE RECURSOS LTDA.,Multimercados Macro,56835263.25,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:18.237.547/0001-70,PACIFICO MACRO MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,18.237.547/0001-70,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,Multimercados Macro,20982549.44,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:18.289.993/0001-29,SPX NIMITZ ONE FEEDER FIF DA CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO RESPONSABILIDADE LIMITADA,18.289.993/0001-29,SPX GESTÃO DE RECURSOS LTDA,Multimercados Macro,6570069.63,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:18.422.264/0001-07,ABSOLUTE HEDGE MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,18.422.264/0001-07,ABSOLUTE GESTAO DE INVESTIMENTOS LTDA,Multimercados Macro,1282807529.78,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:18.422.272/0001-45,UBS ALLOCATION ABSOLUTE VERTEX FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESP LIMITADA,18.422.272/0001-45,UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.,Multimercados Macro,840182379.02,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:18.489.908/0001-76,GROWLER FIF DA CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO RESPONSABILIDADE LIMITADA,18.489.908/0001-76,SPX GESTÃO DE RECURSOS LTDA,Multimercados Macro,309799769.22,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:18.764.158/0001-01,SPX NIMITZ CSHG FIF DA CIC MULTIMERCADO RESPONSABILIDADE LIMITADA,18.764.158/0001-01,SPX GESTÃO DE RECURSOS LTDA,Multimercados Macro,300779103.0,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:18.860.059/0001-15,ABSOLUTE HEDGE FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,18.860.059/0001-15,ABSOLUTE GESTAO DE INVESTIMENTOS LTDA,Multimercados Macro,295607067.78,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:18.981.231/0001-99,ITAÚ ALVORADA MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,18.981.231/0001-99,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Multimercados Macro,104425237.06,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:18.999.700/0001-05,CANVAS ENDURO A FI EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESP LTDA,18.999.700/0001-05,CANVAS CAPITAL S.A.,Multimercados Macro,24477122.57,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:19.160.519/0001-65,KR MIKE FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,19.160.519/0001-65,KONDOR ADMINISTRADORA E GESTORA DE RECURSOS FINANCEIROS LTDA.,Multimercados Macro,33795772.49,Profissional,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:19.212.817/0001-51,ITAÚ ALVORADA FIF CIC MULTIMERCADO RESPONSABILIDADE LIMITADA,19.212.817/0001-51,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Multimercados Macro,15983036.35,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:19.226.446/0001-67,SAFRA GLOBAL EQUITIES FIF CLASSE DE  INVESTIMENTO MULTIMERCADO RESPONSABILIDADE LIMITADA,19.226.446/0001-67,SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Multimercados Macro,148074043.03,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:19.413.587/0001-99,IBIUNA HEDGE A FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESPONSABILIDADE LIMITADA,19.413.587/0001-99,IBIUNA CRÉDITO GESTÃO DE RECURSOS LTDA.,Multimercados Macro,398383208.07,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:19.736.757/0001-76,ARX MACRO MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESP LTDA,19.736.757/0001-76,ARX INVESTIMENTOS LTDA,Multimercados Macro,36462726.87,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:19.941.720/0001-80,BTG CLAVE ALPHA MACRO MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,19.941.720/0001-80,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,Multimercados Macro,459305823.9,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:19.941.902/0001-50,BTG CLAVE ALPHA MACRO A FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVEST MULTIMERCADO,19.941.902/0001-50,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,Multimercados Macro,65762763.89,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:19.941.946/0001-80,VENTOR IMA-B HEDGE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,19.941.946/0001-80,VENTOR INVESTIMENTOS LTDA.,Multimercados Macro,48314414.47,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:20.162.345/0001-59,BB ESPELHO MULTIMERCADO IBIUNA HEDGE  FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,20.162.345/0001-59,BB GESTAO DE RECURSOS DTVM S.A,Multimercados Macro,50953680.15,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:20.173.073/0001-92,IPORANGA MACRO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,20.173.073/0001-92,IPORANGA INVESTIMENTOS LTDA,Multimercados Macro,61698584.31,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:20.198.101/0001-26,IPORANGA MACRO FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,20.198.101/0001-26,IPORANGA INVESTIMENTOS LTDA,Multimercados Macro,61803836.93,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:20.216.114/0001-80,ASA GAUSS CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA,20.216.114/0001-80,ASA ASSET MANAGEMENT LTDA.,Multimercados Macro,168049292.42,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:20.226.378/0001-15,CLAVE ALPHA MACRO ACCESS FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,20.226.378/0001-15,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Multimercados Macro,65342978.24,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:20.226.388/0001-50,BTG CLAVE ALPHA MACRO P FIF EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,20.226.388/0001-50,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,Multimercados Macro,110357839.86,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:20.231.879/0001-90,RAFTER MODERADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,20.231.879/0001-90,RAFTER GESTÃO DE INVESTIMENTOS LTDA,Multimercados Macro,41779262.12,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:20.270.180/0001-39,KAPITALO ZETA A FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,20.270.180/0001-39,KAPITALO INVESTIMENTOS LTDA.,Multimercados Macro,979434050.83,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:21.228.297/0001-17,BAHIA AM MARAU ÁGORA FIF - CIC MULTIMERCADO - RESP LIMITADA,21.228.297/0001-17,BANCO BRADESCO S.A.,Multimercados Macro,1634884.18,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
