fund_key,nome,cnpj,gestor,classe_anbima,patrimonio_liquido,publico_alvo,taxa_administracao_cvm_mensal_pct,referencia_fundo_kinea,eh_fundo_kinea,source
CNPJ:54.008.556/0001-53,KINEA INCENTIVADO COLABORADORES FIF - FUNDO INCENTIVADO EM INV EM DEB INFRA RF CRÉD PRIV - RESP LTDA,54.008.556/0001-53,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,21604958.42,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.008.802/0001-77,AETERNUM FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA RF CRÉD PRIV - RESP LIMITADA,54.008.802/0001-77,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Renda Fixa Duração Livre Crédito Livre,152813450.76,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.008.987/0001-10,SERRA AZUL KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA RF CRÉD PRIV - RESP LIMITADA,54.008.987/0001-10,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,28847809.8,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.020.440/0001-30,ITAÚ DEBÊNTURES INCENTIVADAS CDI V FIF INCENTIVADO INFRA RF CRÉD PRIV - RESP LIMITADA,54.020.440/0001-30,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Renda Fixa Duração Livre Crédito Livre,3137048793.23,Público Geral,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.021.672/0001-02,MAJ KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA RF CRÉD PRIV - RESP LIMITADA,54.021.672/0001-02,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,23349938.01,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.025.238/0001-09,CPH INFRA KINEA FIF - FND INC EM INVEST EM DEB DE INFRA RF CRED PRIV  - RESP LIMITADA,54.025.238/0001-09,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,22767515.09,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.029.274/0001-32,SHELBY KINEA FIF - FUNDO INCENTIVADO EM INV EM DEB DE INFRA RF CRÉD PRIV - RESPONSABILIDADE LIMITADA,54.029.274/0001-32,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,57780087.49,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.047.830/0001-01,BCP INFRA KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA RF CRÉD PRIV - RESP LIMITADA,54.047.830/0001-01,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,23256854.93,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.048.422/0001-66,GALAXY KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV - RESP LIMITADA,54.048.422/0001-66,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,55028832.25,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.062.386/0001-95,JGMX FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,54.062.386/0001-95,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Renda Fixa Duração Livre Crédito Livre,33465849.46,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.065.159/0001-13,SANTANDER PB OSTER INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA FIF RESP LIMITADA,54.065.159/0001-13,SANTANDER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Renda Fixa Duração Livre Crédito Livre,43003570.91,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.070.196/0001-10,DELTA INFRA KINEA FIF - FND INC EM INVEST EM DEB DE INFRA  RF CRED PRIV - RESP LIMITADA,54.070.196/0001-10,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,73864666.37,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.070.861/0001-75,MG INFRA KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA RF CRÉD PRIV - RESP LIMITADA,54.070.861/0001-75,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,22915304.5,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
