fundo_kinea,dimensao,taxa_kinea_pct,mediana_concorrentes_pct,n_concorrentes,desvio_relativo_pct,fonte,observacao
Kinea Indices de Precos FII (KNIP11),Liquidez e custos,1.0,1.025,2,-2.4,"scraper XP (concorrentes diretos identificados manualmente, ver config/concorrentes_aprofundamento.csv)",
Kinea Infra FII (KDIF11),Liquidez e custos,1.05,0.8,4,31.2,"scraper XP (concorrentes diretos identificados manualmente, ver config/concorrentes_aprofundamento.csv)",
Kinea High Yield CRI FII (KNHY11),Liquidez e custos,1.6,0.98,37,63.3,"CVM inf_mensal_fii_complemento (Percentual_Despesas_Taxa_Administracao, despesa mensal reportada, anualizada x1200 como proxy - ver metodologia.md), filtrado por concorrentes diretos de CRI/Recebíveis (mesma lógica de pares diretos usada para KNIP11 e KDIF11)","Concorrentes diretos CRI/Recebíveis: 38 identificados, 37 com taxa válida após filtro de sanidade (0-0.25%/mês; 1 excluídos por implausibilidade - negativo ou acima do teto, erro de preenchimento no informe mensal CVM)."
