nome_bruto,cnpj_bruto,ticker_bruto,tipo_pagina,categoria_bruta,publico_alvo_bruto,taxa_administracao_bruta,taxa_performance_bruta,aplicacao_minima_bruta,cotizacao_resgate_bruta,url,source,access_timestamp,extraction_method,status_confirmacao
Kinea Chronos FIM RL - Subclasse I,21.624.757/0001-26,,fundo_aberto,Macro Média Vol (XP) / Multimercado (CVM),Investidor em Geral,"1,50 %","20,00 %",R$ 500,D+0 (Dias Úteis),https://conteudos.xpi.com.br/fundos-de-investimento/kinea-chronos-fim/,conteudos.xpi.com.br,2026-08-15T00:00:00Z,web_fetch_claude_session,ficha_coletada
Kinea Rendimentos Imobiliários FII,,KNCR11,fii,Títulos e Valores Mobiliários (FII de papel),Não Há Restrição,"1,00 %",,,,https://conteudos.xpi.com.br/fundos-imobiliarios/kinea-rendimentos-imobiliarios-fii-kncr11/,conteudos.xpi.com.br,2026-08-15T00:00:00Z,web_fetch_claude_session,ficha_coletada
